Subject,Condition,cType,gType,pType,trialsequence,stimulusNo,word1,word2,word3,word4,word5,word6,wl1,wl2,wl3,wl4,wl5,wl6,probeAns,probeACC,probeRT
2,2,3,1,8,312,279,350.345693,250.225855,183.616057,200.144139,200.24184,400.402675,3,3,4,3,3,3,f,1,768.775349
2,2,1,3,1,336,296,183.578028,350.273345,233.07756,200.629859,217.06055,417.032168,4,2,4,3,2,2,j,1,1018.73902
2,2,2,0,6,238,297,350.465654,166.718506,166.702119,183.644192,183.467033,216.900086,3,3,2,4,3,4,f,1,935.430473
2,2,3,3,2,223,309,383.739172,233.588633,216.85371,233.55555,250.248734,300.372499,3,3,2,3,3,4,j,1,685.041371
2,2,2,2,1,272,323,200.206284,183.43024,216.962541,433.767709,267.03158,266.873899,3,3,3,4,3,4,j,1,785.629306
2,2,0,3,0,329,324,200.14383,166.80353,166.256283,200.848139,233.583377,266.906054,4,3,4,4,4,4,j,1,735.166063
2,2,0,2,0,281,345,500.329585,216.986347,216.826193,216.886483,200.193299,433.751322,4,3,2,4,3,4,j,1,768.657242
1,1,1,2,5,343,329,817.546765,517.122942,567.117779,450.592294,333.600258,400.426172,4,3,3,3,3,3,f,1,668.624284
1,4,0,2,0,231,330,616.668635,701.344372,517.079967,567.389238,600.585461,467.075855,4,4,3,3,5,3,j,1,801.89706
1,1,2,1,6,251,332,734.099396,333.624683,416.383201,517.76016,784.233982,417.094931,3,3,2,4,4,4,f,1,768.502962
1,4,3,2,8,209,337,567.229702,550.535281,483.854372,317.035074,1034.304629,433.75967,3,3,3,2,4,4,f,1,618.509177
1,4,2,3,7,234,338,517.228063,517.160662,350.312611,417.082564,433.773893,400.462037,3,4,3,4,3,4,f,1,818.554069
1,1,0,2,0,240,339,717.388589,567.240523,300.308808,350.355896,567.215789,417.096168,4,2,1,4,3,4,j,1,650.935544
2,2,3,2,8,304,348,400.295389,200.102709,216.867623,200.278323,250.293565,333.591292,3,3,3,3,3,4,f,1,1068.787654
1,1,2,3,7,241,344,667.421578,517.262382,366.927263,367.172133,483.820981,383.676718,3,3,2,4,3,4,f,1,718.275005
3,2,2,1,1,36,11,633.912467,884.219636,667.393443,600.58948,717.323661,450.562304,3,3,2,4,3,2,j,1,1202.426497
1,1,0,2,0,308,346,717.353961,567.161683,400.451216,416.974351,600.757365,483.726681,4,3,3,4,3,3,j,1,751.79401
3,2,3,2,2,74,15,784.062078,850.869442,600.60092,850.412785,684.461043,734.06384,3,3,2,3,3,4,j,1,1001.385121
3,2,3,2,8,31,18,650.638423,567.276388,1000.992155,834.076084,900.936936,583.909591,3,2,2,3,3,3,f,1,1218.609227
1,1,2,2,6,218,349,667.4021,550.3136,600.680688,600.650389,583.875891,533.590117,3,3,3,4,3,3,f,1,735.173483
3,2,0,1,0,67,21,650.24422,717.712608,467.184376,533.897131,400.356607,383.831307,4,3,2,3,3,3,j,1,1302.489755
2,1,2,3,2,33,7,333.769997,266.870189,350.311065,267.030034,283.514522,500.502725,3,3,3,4,3,3,j,1,1202.435154
3,2,3,3,2,160,49,884.259829,567.062127,417.240245,633.976467,417.101424,450.411424,3,3,2,3,3,3,j,1,1118.913273
2,4,1,0,0,50,9,400.391853,333.675697,417.099259,333.717746,350.274273,450.45811,4,3,2,2,3,3,j,1,1102.282853
2,4,3,3,8,110,10,283.603566,216.893903,216.885555,267.030653,266.834324,250.281507,3,3,4,2,2,3,f,1,951.988546
